USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         118  0.0  0.0      0     0 ?        S    11:23   0:00 [kswapd0]
root         119  0.0  0.0      0     0 ?        S    11:23   0:00 [ecryptfs-kthread]
root         120  0.0  0.0      0     0 ?        I<   11:23   0:00 [kworker/R-kthrotld]
root         121  0.0  0.0      0     0 ?        I<   11:23   0:00 [kworker/R-acpi_thermal_pm]
root         124  0.0  0.0      0     0 ?        S    11:23   0:01 [hwrng]
root         127  0.0  0.0      0     0 ?        I<   11:23   0:00 [kworker/R-hfi-updates]
root         128  0.0  0.0      0     0 ?        I<   11:23   0:00 [kworker/R-mld]
root         129  0.0  0.0      0     0 ?        I<   11:23   0:00 [kworker/3:1H-kblockd]
root         130  0.0  0.0      0     0 ?        I<   11:23   0:00 [kworker/R-ipv6_addrconf]
root         131  0.0  0.0      0     0 ?        I<   11:23   0:00 [kworker/R-kstrp]
root         152  0.0  0.0      0     0 ?        I<   11:23   0:00 [kworker/R-charger_manager]
root         153  0.0  0.0      0     0 ?        I<   11:23   0:01 [kworker/0:1H-i915_cleanup]
root         176  0.0  0.0      0     0 ?        I<   11:23   0:01 [kworker/2:1H-events_highpri]
root         180  0.0  0.0      0     0 ?        I<   11:23   0:01 [kworker/4:1H-i915_cleanup]
root         202  0.0  0.0      0     0 ?        I<   11:23   0:02 [kworker/9:1H-kblockd]
root         203  0.0  0.0      0     0 ?        I<   11:23   0:00 [kworker/5:1H-i915_cleanup]
root         204  0.0  0.0      0     0 ?        I<   11:23   0:01 [kworker/10:1H-kblockd]
root         207  0.0  0.0      0     0 ?        I<   11:23   0:00 [kworker/1:1H-i915_cleanup]
root         209  0.0  0.0      0     0 ?        I<   11:23   0:01 [kworker/11:1H-i915_cleanup]
root         211  0.0  0.0      0     0 ?        I<   11:23   0:00 [kworker/7:1H-kblockd]
root         215  0.0  0.0      0     0 ?        I<   11:23   0:01 [kworker/6:1H-kblockd]
root         276  0.0  0.0      0     0 ?        I<   11:23   0:00 [kworker/R-nvme-wq]
root         277  0.0  0.0      0     0 ?        I<   11:23   0:00 [kworker/R-nvme-reset-wq]
root         278  0.0  0.0      0     0 ?        I<   11:23   0:00 [kworker/R-nvme-delete-wq]
root         279  0.0  0.0      0     0 ?        I<   11:23   0:00 [kworker/R-nvme-auth-wq]
root         281  0.4  0.0      0     0 ?        S    11:23   3:00 [irq/143-ELAN06FA:00]
root         284  0.0  0.0      0     0 ?        S    11:23   0:00 [spi0]
root         321  0.0  0.0      0     0 ?        S    11:23   0:04 [jbd2/nvme0n1p5-8]
root         322  0.0  0.0      0     0 ?        I<   11:23   0:00 [kworker/R-ext4-rsv-conversion]
root         372  0.0  0.1  67304 20212 ?        S<s  11:23   0:02 /usr/lib/systemd/systemd-journald
root         477  0.0  0.1  41288 19124 ?        Ss   11:23   0:19 /usr/lib/systemd/systemd-udevd
root         484  0.0  0.0      0     0 ?        S    11:23   0:00 [psimon]
root         623  0.0  0.0      0     0 ?        I<   11:23   0:00 [kworker/R-cfg80211]
root         677  0.0  0.0      0     0 ?        S    11:23   0:00 [irq/16-processor_thermal_device_pci]
root         703  0.0  0.0      0     0 ?        I<   11:23   0:00 [kworker/R-ttm]
root         711  0.0  0.0      0     0 ?        S    11:23   0:00 [card1-crtc0]
root         712  0.0  0.0      0     0 ?        S    11:23   0:00 [card1-crtc1]
root         713  0.0  0.0      0     0 ?        S    11:23   0:00 [card1-crtc2]
root         714  0.0  0.0      0     0 ?        S    11:23   0:00 [card1-crtc3]
systemd+     849  0.0  0.0  17572  7664 ?        Ss   11:23   0:12 /usr/lib/systemd/systemd-oomd
systemd+     850  0.0  0.0  22388 13788 ?        Ss   11:23   0:04 /usr/lib/systemd/systemd-resolved
systemd+     851  0.0  0.0  91060  7916 ?        Ssl  11:23   0:00 /usr/lib/systemd/systemd-timesyncd
root         865  2.2  0.0      0     0 ?        S    11:23  16:22 [irq/159-rtw89_pci]
avahi       1029  0.5  0.0  12248  8224 ?        Ss   11:23   3:59 avahi-daemon: running [IdeaPad.local]
root        1032  0.0  0.0  13808  7160 ?        Ss   11:23   0:00 /usr/libexec/bluetooth/bluetoothd
message+    1036  0.0  0.0  12296  7420 ?        Ss   11:23   0:12 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
gnome-r+    1051  0.0  0.1 439224 16536 ?        Ssl  11:23   0:00 /usr/libexec/gnome-remote-desktop-daemon --system
polkitd     1073  0.0  0.0 391016 12416 ?        Ssl  11:23   0:02 /usr/lib/polkit-1/polkitd --no-debug
root        1082  0.0  0.0 313712  8088 ?        Ssl  11:23   0:04 /usr/libexec/power-profiles-daemon
root        1105  0.0  0.0  12012  6008 ?        Ss   11:23   0:00 /usr/sbin/smartd -n
root        1120  0.0  0.0 315488 10164 ?        Ssl  11:23   0:01 /usr/libexec/accounts-daemon
root        1125  0.0  0.0   9432  2872 ?        Ss   11:23   0:00 /usr/sbin/cron -f -P
root        1128  0.0  0.0 309816  6872 ?        Ssl  11:23   0:00 /usr/libexec/switcheroo-control
root        1137  0.0  0.0  18192  9340 ?        Ss   11:23   0:01 /usr/lib/systemd/systemd-logind
root        1139  0.0  0.0 424928 10760 ?        Ssl  11:23   0:13 /usr/sbin/thermald --systemd --dbus-enable --adaptive
root        1141  0.0  0.0 470716 15400 ?        Ssl  11:23   0:01 /usr/libexec/udisks2/udisksd
avahi       1152  0.0  0.0   8488  1516 ?        S    11:23   0:00 avahi-daemon: chroot helper
syslog      1244  0.0  0.0 222572  6744 ?        Ssl  11:23   0:00 /usr/sbin/rsyslogd -n -iNONE
root        1268  0.0  0.1 338172 21356 ?        Ssl  11:23   0:17 /usr/sbin/NetworkManager --no-daemon
root        1275  0.0  0.0  18364 11932 ?        Ss   11:23   0:03 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
root        1350  0.0  0.0 392188 12992 ?        Ssl  11:23   0:00 /usr/sbin/ModemManager
root        1446  0.0  0.1 328372 20760 ?        Ssl  11:23   0:22 /usr/libexec/upowerd
root        1543  0.0  0.0  39564 13232 ?        Ss   11:23   0:00 /usr/sbin/cupsd -l
root        1552  0.0  0.1 117980 24724 ?        Ssl  11:23   0:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root        1553  0.1  0.2 2245804 47228 ?       Ssl  11:23   0:46 /usr/bin/containerd
root        1585  0.0  0.0 314832  9288 ?        Ssl  11:23   0:00 /usr/sbin/gdm3
mysql       1613  0.6  2.4 2376388 397348 ?      Ssl  11:23   4:59 /usr/sbin/mysqld
rtkit       1682  0.0  0.0  22948  3496 ?        SNsl 11:23   0:00 /usr/libexec/rtkit-daemon
root        1779  0.0  0.0      0     0 ?        S<   11:23   0:00 [krfcommd]
colord      1852  0.0  0.0 320076 14736 ?        Ssl  11:23   0:00 /usr/libexec/colord
cups-br+    2370  0.0  0.1 432664 24680 ?        Ssl  11:23   0:00 /usr/sbin/cups-browsed
root        2371  0.0  0.4 2574436 76980 ?       Ssl  11:23   0:04 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
kernoops    2375  0.0  0.0  12752  2364 ?        Ss   11:23   0:00 /usr/sbin/kerneloops --test
kernoops    2378  0.0  0.0  12752  2376 ?        Ss   11:23   0:00 /usr/sbin/kerneloops
root        2409  0.0  0.5 2540892 89868 ?       Ssl  11:23   0:09 dockerd --group docker --exec-root=/run/snap.docker --data-root=/var/snap/docker/common/var-lib-docker --pidfile=/run/snap.docker/docker.pid --config-file=/var/snap/docker/3579/config/daemon.json
root        2732  0.0  0.0 464060 12952 ?        Sl   11:23   0:00 gdm-session-worker [pam/gdm-password]
root        2756  0.1  0.2 2265384 46600 ?       Ssl  11:23   0:48 containerd --config /run/snap.docker/containerd/containerd.toml
lp          2765  0.0  0.0  16844  6964 ?        S    11:23   0:00 /usr/lib/cups/notifier/dbus dbus://
alisha      2780  0.0  0.0  22080 13168 ?        Ss   11:23   0:08 /usr/lib/systemd/systemd --user
alisha      2786  0.0  0.0  21476  3640 ?        S    11:23   0:00 (sd-pam)
alisha      2812  0.0  0.1 120136 18388 ?        S<sl 11:23   0:04 /usr/bin/pipewire
alisha      2813  0.0  0.0  97744  6012 ?        Ssl  11:23   0:00 /usr/bin/pipewire -c filter-chain.conf
alisha      2817  0.1  0.2 567464 32464 ?        S<sl 11:23   1:26 /usr/bin/wireplumber
alisha      2819  0.1  0.1 128332 28836 ?        S<sl 11:23   1:15 /usr/bin/pipewire-pulse
alisha      2820  0.0  0.0 316800 10524 ?        SLsl 11:23   0:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
alisha      2830  0.0  0.0  11128  6920 ?        Ss   11:23   0:04 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
alisha      2878  0.0  0.0 610300  7548 ?        Ssl  11:23   0:00 /usr/libexec/xdg-document-portal
